"Date","Price","Open","High","Low","Change %"
"03/01/2014","2.848","2.546","2.903","2.482","12.93%"
"02/01/2014","2.522","2.558","2.744","2.477","-1.64%"
"01/01/2014","2.564","2.643","2.753","2.489","-3.35%"
"12/01/2013","2.653","2.738","2.800","2.575","-2.68%"
"11/01/2013","2.726","2.736","2.859","2.688","1.00%"
"10/01/2013","2.699","2.620","2.879","2.584","4.37%"
"09/01/2013","2.586","2.583","2.903","2.550","-0.39%"
"08/01/2013","2.596","2.430","2.738","2.308","6.31%"
"07/01/2013","2.442","2.657","3.016","2.427","-8.30%"
"06/01/2013","2.663","2.560","2.903","2.390","4.02%"
"05/01/2013","2.560","2.595","2.625","2.439","-0.85%"
"04/01/2013","2.582","2.855","2.910","2.571","-8.41%"
"03/01/2013","2.819","2.695","3.078","2.625","5.50%"
"02/01/2013","2.672","2.807","2.900","2.630","-3.29%"
"01/01/2013","2.763","2.645","2.850","2.642","4.19%"
"12/01/2012","2.652","2.680","2.830","2.608","-0.49%"
"11/01/2012","2.665","2.582","2.810","2.572","3.29%"
"10/01/2012","2.580","2.520","2.725","2.365","2.99%"
"09/01/2012","2.505","2.715","2.985","2.443","-9.01%"
"08/01/2012","2.753","2.690","3.040","2.690","0.84%"
"07/01/2012","2.730","2.540","2.810","2.243","8.98%"
"06/01/2012","2.505","2.205","2.695","2.005","15.01%"
"05/01/2012","2.178","3.000","3.033","2.115","-28.52%"
"04/01/2012","3.047","3.517","3.572","2.997","-12.27%"
"03/01/2012","3.473","3.660","3.872","3.453","-4.90%"
"02/01/2012","3.652","3.162","3.757","3.132","14.30%"
"01/01/2012","3.195","3.240","3.422","3.175","0.79%"
"12/01/2011","3.170","3.217","3.283","3.015","1.21%"
"11/01/2011","3.132","3.818","3.872","3.005","-19.80%"
"10/01/2011","3.905","3.555","4.035","3.412","7.72%"
"09/01/2011","3.625","3.803","3.885","3.398","-3.15%"
"08/01/2011","3.743","4.455","4.505","3.380","-15.16%"
"07/01/2011","4.412","4.815","4.867","4.270","-7.41%"
"06/01/2011","4.765","4.793","4.930","4.565","-0.73%"
"05/01/2011","4.800","4.988","5.100","4.778","-3.56%"
"04/01/2011","4.977","4.950","5.102","4.898","0.95%"
"03/01/2011","4.930","4.950","5.037","4.622","0.41%"
"02/01/2011","4.910","4.925","5.185","4.898","0.72%"
"01/01/2011","4.875","5.093","5.102","4.823","-4.60%"
"12/01/2010","5.110","4.957","5.260","4.900","2.86%"
"11/01/2010","4.968","4.855","5.180","4.835","2.54%"
"10/01/2010","4.845","4.770","5.012","4.707","1.32%"
"09/01/2010","4.782","4.233","4.907","4.233","12.39%"
"08/01/2010","4.255","4.557","4.628","4.225","-6.95%"
"07/01/2010","4.573","4.430","4.768","4.285","2.72%"
"06/01/2010","4.452","4.425","4.738","4.240","0.38%"
"05/01/2010","4.435","4.940","5.063","4.240","-10.04%"
"04/01/2010","4.930","4.965","5.070","4.835","-1.10%"
"03/01/2010","4.985","4.550","5.040","4.550","9.56%"
"02/01/2010","4.550","4.195","4.720","4.137","7.31%"
"01/01/2010","4.240","4.405","4.585","4.205","-3.75%"
