Estados Unidos,Europa,Reino Unido,Japao,China,Suica,Australia,Canada,Coreia do Sul,Noruega,Suecia,Mexico,India,Brasil
2.42,-0.31045,0.82,0.05,3.0,-0.7475,1.68,1.675,1.86,1.4,-0.3995,8.5,6.0,6.5
2.39,-0.311863636363636,0.8,0.049,3.15,-0.7752625,1.54,1.678,1.84,1.46,-0.3995,8.51,6.0,6.5
2.38,-0.3289,0.78,0.049,3.6,-0.780555,1.29,1.665,1.8,1.51,-0.3994,8.52,6.0,6.5
2.4,-0.364869565217391,0.77,0.049,3.16,-0.84,1.11,1.654,1.68,1.57,-0.4,8.45,5.65,6.5
2.13,-0.407681818181818,0.76,0.009,3.11,-0.8075,0.98,1.635,1.49,1.61,-0.4278,8.33,5.65,6.0
2.04,-0.417571428571429,0.77,0.009,3.3,-0.79125,0.98,1.6275,1.54,1.7,-0.4094,8.11,5.65,5.8
1.83,-0.412869565217391,0.78,0.009,3.46,-0.756590909090909,0.88,1.654,1.46,1.81,-0.4333,7.89,5.4,5.48
1.55,-0.401285714285714,0.79,0.018,3.33,-0.705643333333333,0.91,1.6625,1.52,1.85,-0.4717,7.7,5.4,5.0
1.55,-0.3947,0.79,0.021,3.49,-0.736666666666667,0.9,1.6575,1.53,1.85,-0.455,7.56,5.4,4.68
1.55,-0.391136363636364,0.74,0.021,3.67,-0.74875,0.89,1.646,1.47,1.83,-0.1749,7.44,5.21,4.5
1.58,-0.40885,0.75,0.021,2.98,-0.7164475,0.89,1.6325,1.42,1.75,-0.1499,7.3,5.21,4.29
0.65,-0.416636363636364,0.53,0.006,2.55,-0.675,0.53,0.6725,1.23,1.39,-0.15291,6.98,5.21,4.04
0.05,-0.25405,0.65,-0.039,2.32,-0.624583333333333,0.17,0.246,1.1,0.76,-0.1704,6.43,4.25,3.75
0.05,-0.27195,0.33,-0.042,2.13,-0.663348888888889,0.1,0.235,1.02,0.3,-0.13926,5.93,4.25,3.15
0.08,-0.376,0.19,-0.042,2.54,-0.6658145,0.1,0.1925,0.79,0.34,-0.084714,5.64,4.25,2.68
0.09,-0.444130434782609,0.1,-0.065,2.76,-0.69071347826087,0.1,0.18,0.79,0.32,-0.084522,5.2,4.25,2.25
0.1,-0.479714285714286,0.07,-0.065,2.97,-0.706807142857143,0.1,0.1575,0.68,0.25,-0.11924,4.95,4.25,2.04
0.09,-0.491363636363636,0.06,-0.055,2.99,-0.708714090909091,0.09,0.142,0.63,0.27,-0.13068,4.71,4.25,2.0
0.09,-0.509136363636364,0.05,-0.055,3.18,-0.698181818181818,0.07,0.1,0.63,0.33,-0.1285,4.53,4.25,2.0
0.09,-0.520857142857143,0.04,-0.055,3.56,-0.73,0.02,0.1075,0.66,0.36,-0.12448,4.49,4.25,2.0
0.09,-0.538090909090909,0.03,-0.055,3.33,-0.742727272727273,0.02,0.106,0.66,0.49,-0.18255,4.48,4.25,2.0
0.09,-0.54715,0.03,-0.055,3.01,-0.729838,0.01,0.0575,0.68,0.48,-0.15042,4.44,4.25,2.0
0.08,-0.5411,0.05,-0.055,3.25,-0.732424,0.01,0.0825,0.73,0.45,-0.1313,4.33,4.25,2.0
0.07,-0.539086956521739,0.08,-0.065,3.07,-0.73,0.03,0.106,0.75,0.38,-0.15965,4.24,4.25,2.34
0.07,-0.53815,0.09,-0.065,2.82,-0.7285415,0.04,0.0925,0.74,0.3,-0.14671,4.25,4.25,2.75
0.06,-0.540095238095238,0.08,-0.065,2.84,-0.735221052631579,0.04,0.0975,0.68,0.24,-0.1519,4.26,4.25,3.38
0.08,-0.542909090909091,0.08,-0.072,2.93,-0.737727272727273,0.03,0.128,0.66,0.2,-0.15881,4.31,4.25,3.85
0.1,-0.544818181818182,0.08,-0.072,2.82,-0.736136363636364,0.02,0.1675,0.69,0.32,-0.15514,4.58,4.25,4.25
